commodity_id,country_name,hs_code,hs_suffix,hs_version,description,short_description,commodityclass_name,commodityclass_code,shared_group_code,country_code
"65","","190420","","HS2012","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals","Maize + Rice + Wheat","11","",""
"67","","190430","","HS2012","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","Bulgur wheat in the form of worked grains, obtained by cooking hard wheat grains","Wheat","1","",""
"69","","190490","","HS2012","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","Cereals (excl. maize [corn]) in grain or flake form or other worked grains, pre-cooked or otherwise prepared","Maize + Rice + Wheat","11","",""
"72","","230210","","HS2012","Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants. - Of maize (corn).","Bran, sharps and other residues of maize (corn), whether or not in the form of pellets, derived from sifting, milling or other working","Maize","3","",""
"74","","230230","","HS2012","Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants. - Of wheat.","Bran, sharps and other residues of wheat, whether or not in the form of pellets, derived from sifting, milling or other working","Wheat","1","",""
"75","","230240","","HS2012","Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants. - Of other cereals.","Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived from sifting, milling or other working (excl. maize and wheat)","Rice","2","",""
"77","","230400","","HS2012","Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil","Soybeans","4","",""
"89","Argentina","10011010","","HS2007","Wheat and meslin. - Durum wheat. -- Para siembra.","(-) Durum wheat. Para siembra","Wheat","1","","12"
"90","Argentina","10011090","","HS2007","Wheat and meslin. - Durum wheat. -- No suministrada.","(-) Durum wheat. No suministrada","Wheat","1","","12"
"91","Argentina","10019000","","HS2007","Wheat and meslin. - Other","Wheat and meslin (-)","Wheat","1","","12"
"92","Argentina","10019010","","HS2007","Wheat and meslin. - Other. -- Para siembra.","Wheat and meslin (-). Para siembra","Wheat","1","","12"
"93","Argentina","10019090","","HS2007","Wheat and meslin. - Other. -- No suministrada.","Wheat and meslin (-) No suministrada","Wheat","1","","12"
"94","Argentina","10051000","","HS2007","Maize (corn). - Seed.","Maize (corn) seed","Maize","3","","12"
"96","Argentina","10059010","","HS2007","Maize (corn). - Other. -- En grano.","Maize (corn) (-) En grano","Maize","3","","12"
"97","Argentina","10059090","","HS2007","Maize (corn). - Other. -- Los demás.","Maize (corn) (-) Los demás","Maize","3","","12"
"98","Argentina","10061010","","HS2007","Rice. - Rice in the husk (paddy or rough). -- Para siembra.","(-) Rice in the husk (paddy or rough). Para siembra","Rice","2","","12"
"99","Argentina","10061091","","HS2007","Rice. - Rice in the husk (paddy or rough). -- Los demás. --- Parboilizado.","(-) Rice in the husk (paddy or rough) for sowing (-) Parboilizado","Rice","2","","12"
"100","Argentina","10061092","","HS2007","Rice. - Rice in the husk (paddy or rough). -- Los demás. --- No parboilizado.","(-) Rice in the husk (paddy or rough) for sowing (-) No parboilizado","Rice","2","","12"
"101","Argentina","10062010","","HS2007","Rice. - Husked (brown) rice. -- Parboilizado.","(-) Husked (brown) rice. Parboilizado","Rice","2","","12"
"102","Argentina","10062020","","HS2007","Rice. - Husked (brown) rice. -- No parboilizado.","(-) Husked (brown) rice. No parboilizado","Rice","2","","12"
"103","Argentina","10063011","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. -- Parboilizado. --- Pulido o glaseado.","(-) Semi/wholly milled parboiled rice. Parboilizado pulido or glaseado","Rice","2","","12"
"104","Argentina","10063019","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. -- Parboilizado. --- Los demás.","(-) Semi/wholly milled parboiled rice. Parboilizado","Rice","2","","12"
"105","Argentina","10063021","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. -- No parboilizado. --- Pulido o glaseado","(-) Semi/wholly milled rice. No parboilizado pulido o glaseado","Rice","2","","12"
"106","Argentina","10063029","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. -- No parboilizado. --- Los demás","(-) Semi/wholly milled rice. No parboilizado","Rice","2","","12"
"107","Argentina","10064000","","HS2007","Rice. - Broken rice.","(-) Broken rice","Rice","2","","12"
"108","Argentina","11010010","","HS2007","Wheat or meslin flour. - De trigo.","Wheat or meslin flour. De trigo","Wheat","1","","12"
"109","Argentina","11010020","","HS2007","Wheat or meslin flour. - De morcajo (tranquillón).","Wheat or meslin flour. De morcajo (tranquillón)","Wheat","1","","12"
"110","Argentina","11022000","","HS2007","Cereal flours other than of wheat or meslin. - Maize (corn) flour.","(-) Maize (corn) flour","Maize","3","","12"
"111","Argentina","11029000","","HS2007","Cereal flours other than of wheat or meslin. - Other.","Cereal flours other than of wheat or meslin","Rice","2","","12"
"112","Argentina","11031100","","HS2007","Cereal groats, meal and pellets. - Groats and meal : -- Of wheat.","(-) Groats and meal of wheat","Wheat","1","","12"
"113","Argentina","11031300","","HS2007","Cereal groats, meal and pellets. - Groats and meal : -- Of maize (corn).","(-) Groats and meal of maize (corn)","Maize","3","","12"
"114","Argentina","11031900","","HS2007","Cereal groats, meal and pellets. - Groats and meal : -- Of other cereals.","(-) Groats and meal of other cereals","Rice","2","","12"
"116","Argentina","11042300","","HS2007","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Other worked grains (for example, hulled, pearled, sliced or kibbled): -- O","(-) Other worked grains (e.g. hulled, pearled, sliced or kibbled) of maize (corn)","Maize","3","","12"
"118","Argentina","11043000","","HS2007","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Germ of cereals, whole, rolled, flaked or ground.","(-) Germ of cereals, whole, rolled, flaked or ground","Maize + Rice + Wheat","11","","12"
"119","Argentina","11081100","","HS2007","Starches; inulin. - Starches : -- Wheat starch.","(-) Starches of wheat","Wheat","1","","12"
"120","Argentina","11081200","","HS2007","Starches; inulin. - Starches : -- Maize (corn) starch.","(-) Starches of maize (corn)","Maize","3","","12"
"121","Argentina","11081900","","HS2007","Starches; inulin. - Starches : -- Other starches.","(-) Other starches","Rice","2","","12"
"122","Argentina","11090000","","HS2007","Wheat gluten, whether or not dried.","Wheat gluten","Wheat","1","","12"
"123","Argentina","12010010","","HS2007","Soya beans, whether or not broken. - Para siembra.","Soya beans. Para siembra","Soybeans","4","","12"
"124","Argentina","12010090","","HS2007","Soya beans, whether or not broken. - Las demás.","Soya beans. Las demás","Soybeans","4","","12"
"126","Argentina","12081000","","HS2007","Flours and meals of oil seeds or oleaginous fruits, other than those of mustard. - Of soya beans.","Flours and meals of soya beans","Soybeans","4","","12"
"144","Argentina","15152100","","HS2007","Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified. - Maize (corn) oil and its fractions : -- Crude oil. --- No suministrada.","(-) Maize (corn) crude oil. No suministrada","Maize","3","","12"
"148","Argentina","15152910","","HS2007","Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified. - Maize (corn) oil and its fractions : -- Other. --- Refinado en envases con capacidad inferior o igual a 5 l.","(-) Maize (corn) oil and its fractions (-).  Refinado en envases con capacidad inferior o igual a 5 l","Maize","3","","12"
"149","Argentina","15152990","","HS2007","Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified. - Maize (corn) oil and its fractions : -- Other. --- Los demás","(-) Maize (corn) oil and its fractions (-). Los demás","Maize","3","","12"
"150","Argentina","19041000","","HS2007","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","(-) Prepared foods obtained by the swelling or roasting of cereals or cereal products","Maize + Rice + Wheat","11","","12"
"152","Argentina","19043000","","HS2007","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","Prepared foods obtained by the swelling or roasting of cereals; pre-cooked or otherwise prepared grains, flakes or other worked grains (except flour, groats and meal) of cereals. Bulgur wheat","Wheat","1","","12"
"158","Argentina","23020012","","HS2007","Brans, sharps and other residues of wheat","Bran, sharps and other residues derived from the sifting, milling or other working of wheat","Wheat","1","","12"
"164","Argentina","23040010","","HS2007","Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil. - Harina y «pellets».","Oil-cake and other solid residues resulting from the extraction of soybean oil","Soybeans","4","","12"
"165","Argentina","23040090","","HS2007","Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil. - Los demás.","Oil-cake and other solid residues resulting from the extraction of soybean oil","Soybeans","4","","12"
"169","Argentina","","","","Wheat","Wheat","Wheat","1","ARGR001","12"
"320","Brazil","","","","Coarse grains","Coarse grains","Maize + Rice","9","BRAX001","37"
"322","Brazil","","","","Preparations of cereals, flour of milk and pastrycook poducts","Preparations of cereals, flour of milk and pastrycook poducts","Maize + Rice + Wheat","11","BRAX015","37"
"323","Brazil","","","","Vegetable oils","Vegetable oils","Maize + Soybeans","10","BRAX002","37"
"489","Canada","","","","Coarse grains","Coarse grains","Maize + Rice + Wheat","11","CANX002","46"
"495","Canada","","","","Wheat and wheat flour","Wheat and wheat flour","Wheat","1","CANX001","46"
"497","China","10011000","","HS2007","Wheat and meslin. - Durum wheat.","(-) Durum wheat","Wheat","1","","53"
"500","China","10019010","","HS2007","Wheat and meslin. - Other. -- Seed.","Wheat and meslin (-) Seed","Wheat","1","","53"
"503","China","10019090","","HS2007","Wheat and meslin. - Other. -- Other.","Wheat and meslin (-)","Wheat","1","","53"
"507","China","10051000","","HS2007","Maize (corn). - Seed.","Maize (corn) seed","Maize","3","","53"
"510","China","10059000","","HS2007","Maize (corn). - Other.","Maize (corn)","Maize","3","","53"
"513","China","10061011","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Seed. ---- Long grain.","(-) Long grain rice in the husk (paddy or rough) seed","Rice","2","","53"
"516","China","10061019","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Seed. ---- Other.","(-) Rice in the husk (paddy or rough) seed","Rice","2","","53"
"519","China","10061091","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Other. ---- Long grain.","(-) Long grain rice in the husk (paddy or rough)","Rice","2","","53"
"522","China","10061099","","HS2007","Rice. - Rice in the husk (paddy or rough). --- Other. ---- Other.","(-) Rice in the husk (paddy or rough) (-)","Rice","2","","53"
"525","China","10062010","","HS2007","Rice. - Husked (brown) rice. --- Long grain.","(-) Husked (brown) rice. Long grain","Rice","2","","53"
"528","China","10062090","","HS2007","Rice. - Husked (brown) rice. --- Other.","(-) Husked (brown) rice","Rice","2","","53"
"531","China","10063010","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. --- Long grain.","(-) Semi/wholly milled long grain rice","Rice","2","","53"
"534","China","10063090","","HS2007","Rice. - Semi-milled or wholly milled rice, whether or not polished or glazed. --- Other.","(-) Semi/wholly milled rice","Rice","2","","53"
"537","China","10064010","","HS2007","Rice. - Broken rice. --- Long grain.","(-) Long grain broken rice","Rice","2","","53"
"540","China","10064090","","HS2007","Rice. - Broken rice. --- Other.","(-) Broken rice","Rice","2","","53"
"543","China","11010000","","HS2007","Wheat or meslin flour.","Wheat or meslin flour","Wheat","1","","53"
"546","China","11022000","","HS2007","Cereal flours other than of wheat or meslin. - Maize (corn) flour.","(-) Maize (corn) flour","Maize","3","","53"
"549","China","11029011","","HS2007","Cereal flours other than of wheat or meslin. - Other. - Other: -- Rice flour: --- Of long grain.","(-) Long grain rice flour","Rice","2","","53"
"552","China","11029019","","HS2007","Cereal flours other than of wheat or meslin. - Other. - Other: -- Rice flour: --- Other.","(-) Rice flour","Rice","2","","53"
"556","China","11031100","","HS2007","Cereal groats, meal and pellets. - Groats and meal : -- Of wheat.","(-) Groats and meal of wheat","Wheat","1","","53"
"559","China","11031300","","HS2007","Cereal groats, meal and pellets. - Groats and meal : -- Of maize (corn).","(-) Groats and meal of maize (corn)","Maize","3","","53"
"563","China","11031921","","HS2007","Cereal groats, meal and pellets. - Groats and meal : -- Of other cereals. --- Of rice: ---- Of long grain.","(-) Groats and meal of long grain rice","Rice","2","","53"
"566","China","11031929","","HS2007","Cereal groats, meal and pellets. - Groats and meal : -- Of other cereals. --- Of rice: ---- Other.","(-) Groats and meal of rice","Rice","2","","53"
"574","China","11041990","","HS2007","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Rolled or flaked grains: -- Of other cereals. --- Other.","(-) Rolled or flaked grains of other cereals","Maize + Rice + Wheat","11","","53"
"576","China","11042300","","HS2007","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Other worked grains (for example, hulled, pearled, sliced or kibbled): -- O","(-) Other worked grains (e.g. hulled, pearled, sliced or kibbled) of maize (corn)","Maize","3","","53"
"579","China","11042990","","HS2007","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Other worked grains (for example, hulled, pearled, sliced or kibbled): -- O","(-) Other worked grains (e.g. hulled, pearled, sliced or kibbled) of other cereals","Rice + Wheat","12","","53"
"580","China","11043000","","HS2007","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground. - Germ of cereals, whole, rolled, flaked or ground.","(-) Germ of cereals, whole, rolled, flaked or ground","Maize + Rice + Wheat","11","","53"
"581","China","11081100","","HS2007","Starches; inulin. - Starches : -- Wheat starch.","(-) Starches of wheat","Wheat","1","","53"
"582","China","11081200","","HS2007","Starches; inulin. - Starches : -- Maize (corn) starch.","(-) Starches of maize (corn)","Maize","3","","53"
"584","China","11081900","","HS2007","Starches; inulin. - Starches : -- Other starches.","(-) Other starches","Rice","2","","53"
"585","China","11090000","","HS2007","Wheat gluten, whether or not dried.","Wheat gluten","Wheat","1","","53"
"586","China","12010010","","HS2007","Soya beans, whether or not broken. - Seed.","Soya beans seed","Soybeans","4","","53"
"587","China","12010091","","HS2007","Soya beans, whether or not broken. - Other: -- Yellow soya beans.","(-) Yellow soya beans","Soybeans","4","","53"
"588","China","12010092","","HS2007","Soya beans, whether or not broken. - Other: -- Black soya beans","(-) Black soya beans","Soybeans","4","","53"
"589","China","12010093","","HS2007","Soya beans, whether or not broken. - Other: -- Green soya beans","(-) Green soya beans","Soybeans","4","","53"
"590","China","12010099","","HS2007","Soya beans, whether or not broken. - Other: -- Other","Soya beans (-)","Soybeans","4","","53"
"591","China","12081000","","HS2007","Flours and meals of oil seeds or oleaginous fruits, other than those of mustard. - Of soya beans.","Flours and meals of soya beans","Soybeans","4","","53"
"592","China","15071000","","HS2007","Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Crude oil, whether or not degummed.","(-) Crude oil of soya-bean","Soybeans","4","","53"
"593","China","15079000","","HS2007","Soya-bean oil and its fractions, whether or not refined, but not chemically modified. - Other.","Soya-bean oil and its fractions","Soybeans","4","","53"
"594","China","15152100","","HS2007","Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified. - Maize (corn) oil and its fractions : -- Crude oil.","(-) Maize (corn) crude oil","Maize","3","","53"
"595","China","15152900","","HS2007","Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified. - Maize (corn) oil and its fractions : -- Other.","(-) Maize (corn) oil and its fractions","Maize","3","","53"
"596","China","19041000","","HS2007","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","(-) Prepared foods obtained by the swelling or roasting of cereals or cereal products","Maize + Rice + Wheat","11","","53"
"597","China","19042000","","HS2007","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","(-) Prepared foods obtained from unroasted cereal flakes (also from mixtures unroasted/roasted) or swelled cereals","Maize + Rice + Wheat","11","","53"
"598","China","19043000","","HS2007","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","Prepared foods obtained by the swelling or roasting of cereals; pre-cooked or otherwise prepared grains, flakes or other worked grains (except flour, groats and meal) of cereals. Bulgur wheat","Wheat","1","","53"
"599","China","19049000","","HS2007","Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o","Prepared foods obtained by the swelling or roasting of cereals; pre-cooked or otherwise prepared grains, flakes or other worked grains (except flour, groats and meal) of cereals","Maize + Rice + Wheat","11","","53"
"608","China","23040010","","HS2007","Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil. - Oil-cake.","Oil-cake and other solid residues resulting from the extraction of soybean oil","Soybeans","4","","53"
"609","China","23040090","","HS2007","Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil. - Other.","Oil-cake and other solid residues resulting from the extraction of soybean oil","Soybeans","4","","53"
